gene	depth	guuid
DfrA14	145	00f9ff36-dcc6-453b-be28-04a53e482160
GlpT	91	00f9ff36-dcc6-453b-be28-04a53e482160
PmrB	120	00f9ff36-dcc6-453b-be28-04a53e482160
Sul2	124	00f9ff36-dcc6-453b-be28-04a53e482160
TEM-1	148	00f9ff36-dcc6-453b-be28-04a53e482160
Tet(A)	108	00f9ff36-dcc6-453b-be28-04a53e482160
AadA1	63	00fbeece-3ed6-4f06-9022-99230eec44eb
CyaA	65	00fbeece-3ed6-4f06-9022-99230eec44eb
DfrA1	83	00fbeece-3ed6-4f06-9022-99230eec44eb
FloR	168	00fbeece-3ed6-4f06-9022-99230eec44eb
GlpT	63	00fbeece-3ed6-4f06-9022-99230eec44eb
GyrA	66	00fbeece-3ed6-4f06-9022-99230eec44eb
ParC	64	00fbeece-3ed6-4f06-9022-99230eec44eb
Sat2	72	00fbeece-3ed6-4f06-9022-99230eec44eb
Sul2	69	00fbeece-3ed6-4f06-9022-99230eec44eb
TEM-1	117	00fbeece-3ed6-4f06-9022-99230eec44eb
Tet(A)	77	00fbeece-3ed6-4f06-9022-99230eec44eb
APH(3'')-Ib	120	01188b97-1bf2-4496-b1cc-c555c46d983e
APH(6)-Id	125	01188b97-1bf2-4496-b1cc-c555c46d983e
DfrA5	120	01188b97-1bf2-4496-b1cc-c555c46d983e
GlpT	72	01188b97-1bf2-4496-b1cc-c555c46d983e
PmrB	77	01188b97-1bf2-4496-b1cc-c555c46d983e
Sul2	117	01188b97-1bf2-4496-b1cc-c555c46d983e
TEM-1	118	01188b97-1bf2-4496-b1cc-c555c46d983e
GlpT	70	01267a91-ecc4-4c8a-a7d0-5d3845858d92
PmrB	82	01267a91-ecc4-4c8a-a7d0-5d3845858d92
AAC(3)-IId	384.5	013cc60d-cf3b-4c62-885b-736339cac567
GlpT	80	013cc60d-cf3b-4c62-885b-736339cac567
GyrA	97	013cc60d-cf3b-4c62-885b-736339cac567
ParE	104	013cc60d-cf3b-4c62-885b-736339cac567
PmrB	102	013cc60d-cf3b-4c62-885b-736339cac567
PtsI	92	013cc60d-cf3b-4c62-885b-736339cac567
TEM-1	330	013cc60d-cf3b-4c62-885b-736339cac567
UhpT	111	013cc60d-cf3b-4c62-885b-736339cac567
APH(3'')-Ib	162	014b68b8-c04b-41a7-92ea-5e323ef8cdf0
APH(6)-Id	156	014b68b8-c04b-41a7-92ea-5e323ef8cdf0
GlpT	70	014b68b8-c04b-41a7-92ea-5e323ef8cdf0
MarR	60	014b68b8-c04b-41a7-92ea-5e323ef8cdf0
PmrB	80	014b68b8-c04b-41a7-92ea-5e323ef8cdf0
Sul2	173	014b68b8-c04b-41a7-92ea-5e323ef8cdf0
TEM-1	417	014b68b8-c04b-41a7-92ea-5e323ef8cdf0
1	154	0152fff8-5a8e-4031-8634-81b08a4b5c85
AadA1	140	0152fff8-5a8e-4031-8634-81b08a4b5c85
GlpT	73	0152fff8-5a8e-4031-8634-81b08a4b5c85
PmrB	83	0152fff8-5a8e-4031-8634-81b08a4b5c85
SHV-1	121	0152fff8-5a8e-4031-8634-81b08a4b5c85
Sul1	124	0152fff8-5a8e-4031-8634-81b08a4b5c85
Tet(D)	125	0152fff8-5a8e-4031-8634-81b08a4b5c85
GlpT	93	017afe18-d9bd-43d3-bbff-23dd548792d7
MarR	78	017afe18-d9bd-43d3-bbff-23dd548792d7
PmrB	93	017afe18-d9bd-43d3-bbff-23dd548792d7
UhpT	98	017afe18-d9bd-43d3-bbff-23dd548792d7
GlpT	32	017d25a4-a6ad-4826-9f65-e7a74b1c95cf
MarR	31	017d25a4-a6ad-4826-9f65-e7a74b1c95cf
PmrB	52	017d25a4-a6ad-4826-9f65-e7a74b1c95cf
1	307	01822ce6-6d77-435b-944a-3b45418c034d
DfrA25	283	01822ce6-6d77-435b-944a-3b45418c034d
GlpT	94	01822ce6-6d77-435b-944a-3b45418c034d
GyrA	85	01822ce6-6d77-435b-944a-3b45418c034d
ParC	108	01822ce6-6d77-435b-944a-3b45418c034d
ParE	97	01822ce6-6d77-435b-944a-3b45418c034d
PmrB	114	01822ce6-6d77-435b-944a-3b45418c034d
PtsI	96	01822ce6-6d77-435b-944a-3b45418c034d
Sul1	193	01822ce6-6d77-435b-944a-3b45418c034d
TEM-40	177	01822ce6-6d77-435b-944a-3b45418c034d
Tet(A)	230	01822ce6-6d77-435b-944a-3b45418c034d
UhpT	108	01822ce6-6d77-435b-944a-3b45418c034d
1	144	01901f28-93c3-44ab-a176-539ae8cefcaa
APH(3'')-Ib	122	01901f28-93c3-44ab-a176-539ae8cefcaa
APH(6)-Id	135	01901f28-93c3-44ab-a176-539ae8cefcaa
AadA1	115	01901f28-93c3-44ab-a176-539ae8cefcaa
DfrA1	147	01901f28-93c3-44ab-a176-539ae8cefcaa
GlpT	85	01901f28-93c3-44ab-a176-539ae8cefcaa
PmrB	85	01901f28-93c3-44ab-a176-539ae8cefcaa
Sul1	104	01901f28-93c3-44ab-a176-539ae8cefcaa
Sul2	111	01901f28-93c3-44ab-a176-539ae8cefcaa
TEM-1	144	01901f28-93c3-44ab-a176-539ae8cefcaa
Tet(B)	248	01901f28-93c3-44ab-a176-539ae8cefcaa
APH(3'')-Ib	110	0197f047-b777-4d40-81dd-e8f03f3aad47
APH(6)-Id	105	0197f047-b777-4d40-81dd-e8f03f3aad47
GlpT	77	0197f047-b777-4d40-81dd-e8f03f3aad47
GyrA	79	0197f047-b777-4d40-81dd-e8f03f3aad47
MarR	79	0197f047-b777-4d40-81dd-e8f03f3aad47
PmrB	87	0197f047-b777-4d40-81dd-e8f03f3aad47
Tet(B)	149	0197f047-b777-4d40-81dd-e8f03f3aad47
GlpT	78	01b94355-c95d-40e9-8853-27d8a5971e15
PmrB	84	01b94355-c95d-40e9-8853-27d8a5971e15
GlpT	73	01d34baf-18a8-4195-9931-68b6c4053b22
GlpT	63	01d87d2d-4c54-4201-a82a-b9510936c3e9
ParE	67	01d87d2d-4c54-4201-a82a-b9510936c3e9
PmrB	68	01d87d2d-4c54-4201-a82a-b9510936c3e9
UhpT	66	01d87d2d-4c54-4201-a82a-b9510936c3e9
1	110	01dfd4d8-42df-4370-8d24-eaf99e12df22
2'-phosphotransferase	92	01dfd4d8-42df-4370-8d24-eaf99e12df22
APH(3'')-Ib	242	01dfd4d8-42df-4370-8d24-eaf99e12df22
APH(3')-Ia	112	01dfd4d8-42df-4370-8d24-eaf99e12df22
APH(6)-Id	185	01dfd4d8-42df-4370-8d24-eaf99e12df22
AadA2	106	01dfd4d8-42df-4370-8d24-eaf99e12df22
DfrA12	112	01dfd4d8-42df-4370-8d24-eaf99e12df22
DfrA14	255	01dfd4d8-42df-4370-8d24-eaf99e12df22
GlpT	53	01dfd4d8-42df-4370-8d24-eaf99e12df22
GyrA	54	01dfd4d8-42df-4370-8d24-eaf99e12df22
ParC	66	01dfd4d8-42df-4370-8d24-eaf99e12df22
ParE	67	01dfd4d8-42df-4370-8d24-eaf99e12df22
PmrB	69	01dfd4d8-42df-4370-8d24-eaf99e12df22
PtsI	57	01dfd4d8-42df-4370-8d24-eaf99e12df22
Sul1	91	01dfd4d8-42df-4370-8d24-eaf99e12df22
Sul2	225	01dfd4d8-42df-4370-8d24-eaf99e12df22
TEM-40	232	01dfd4d8-42df-4370-8d24-eaf99e12df22
Tet(A)	293	01dfd4d8-42df-4370-8d24-eaf99e12df22
UhpT	73	01dfd4d8-42df-4370-8d24-eaf99e12df22
GlpT	82	01e2e374-6a95-44ed-9ff4-186e343197a1
PmrB	83	01e2e374-6a95-44ed-9ff4-186e343197a1
ampC	77	01e2e374-6a95-44ed-9ff4-186e343197a1
2'-phosphotransferase	755	01ebf48a-dfae-4f34-8601-414bdd9d64d4
APH(3'')-Ib	194	01ebf48a-dfae-4f34-8601-414bdd9d64d4
APH(3')-Ia	223	01ebf48a-dfae-4f34-8601-414bdd9d64d4
APH(6)-Id	166	01ebf48a-dfae-4f34-8601-414bdd9d64d4
Sul2	191	01ebf48a-dfae-4f34-8601-414bdd9d64d4
TEM-1	968.5	01ebf48a-dfae-4f34-8601-414bdd9d64d4
Tet(B)	107	01ebf48a-dfae-4f34-8601-414bdd9d64d4
CTX-M-27	112	0233ca07-2f55-4d5c-9187-8af851e62dcb
GlpT	72	0233ca07-2f55-4d5c-9187-8af851e62dcb
GyrA	77	0233ca07-2f55-4d5c-9187-8af851e62dcb
ParC	74	0233ca07-2f55-4d5c-9187-8af851e62dcb
ParE	69	0233ca07-2f55-4d5c-9187-8af851e62dcb
PmrB	76	0233ca07-2f55-4d5c-9187-8af851e62dcb
PtsI	81	0233ca07-2f55-4d5c-9187-8af851e62dcb
UhpT	86	0233ca07-2f55-4d5c-9187-8af851e62dcb
2'-phosphotransferase	289	0240c711-0a61-4183-b31d-5309ad54e969
APH(3'')-Ib	113	0240c711-0a61-4183-b31d-5309ad54e969
APH(3')-Ia	284	0240c711-0a61-4183-b31d-5309ad54e969
APH(6)-Id	106	0240c711-0a61-4183-b31d-5309ad54e969
CTX-M-15	250	0240c711-0a61-4183-b31d-5309ad54e969
DfrA14	353	0240c711-0a61-4183-b31d-5309ad54e969
GlpT	72	0240c711-0a61-4183-b31d-5309ad54e969
ParE	74	0240c711-0a61-4183-b31d-5309ad54e969
PmrB	75	0240c711-0a61-4183-b31d-5309ad54e969
PtsI	74	0240c711-0a61-4183-b31d-5309ad54e969
Sul2	96	0240c711-0a61-4183-b31d-5309ad54e969
TEM-1	548	0240c711-0a61-4183-b31d-5309ad54e969
UhpT	72	0240c711-0a61-4183-b31d-5309ad54e969
1	151	024d720b-7bf8-4524-bdd6-e9033cb3e91e
2'-phosphotransferase	128	024d720b-7bf8-4524-bdd6-e9033cb3e91e
APH(3'')-Ib	159	024d720b-7bf8-4524-bdd6-e9033cb3e91e
APH(6)-Id	121	024d720b-7bf8-4524-bdd6-e9033cb3e91e
AadA5	153	024d720b-7bf8-4524-bdd6-e9033cb3e91e
CyaA	92	024d720b-7bf8-4524-bdd6-e9033cb3e91e
DfrA17	181	024d720b-7bf8-4524-bdd6-e9033cb3e91e
GlpT	82	024d720b-7bf8-4524-bdd6-e9033cb3e91e
Sul1	109	024d720b-7bf8-4524-bdd6-e9033cb3e91e
Sul2	143	024d720b-7bf8-4524-bdd6-e9033cb3e91e
TEM-1	155	024d720b-7bf8-4524-bdd6-e9033cb3e91e
GlpT	81	0262b07d-945e-41e5-81ed-6efc8ffca6b9
PmrB	101	0262b07d-945e-41e5-81ed-6efc8ffca6b9
GlpT	65	02745057-7b57-442c-88d1-c4eab6209542
PmrB	77	02745057-7b57-442c-88d1-c4eab6209542
QnrS1	695	02745057-7b57-442c-88d1-c4eab6209542
TEM-1	668.5	02745057-7b57-442c-88d1-c4eab6209542
GlpT	82	028c89e4-3429-4fc0-86c1-f706b6788e48
MarR	66	028c89e4-3429-4fc0-86c1-f706b6788e48
PmrB	101	028c89e4-3429-4fc0-86c1-f706b6788e48
GlpT	89	02bd8907-b922-442a-ba82-dfe722f0ede5
MarR	76	02bd8907-b922-442a-ba82-dfe722f0ede5
PmrB	100	02bd8907-b922-442a-ba82-dfe722f0ede5
GlpT	97	02c5f878-2e1c-4c6b-9083-da0c252f82f0
MarR	76	02c5f878-2e1c-4c6b-9083-da0c252f82f0
PmrB	107	02c5f878-2e1c-4c6b-9083-da0c252f82f0
AadA1	125	02cb1371-8085-46c0-af8d-075dacbdd5a9
AadA2	129	02cb1371-8085-46c0-af8d-075dacbdd5a9
CmlA1	126	02cb1371-8085-46c0-af8d-075dacbdd5a9
DfrA12	125	02cb1371-8085-46c0-af8d-075dacbdd5a9
GyrA	71	02cb1371-8085-46c0-af8d-075dacbdd5a9
Mef(B)	160	02cb1371-8085-46c0-af8d-075dacbdd5a9
ParC	76	02cb1371-8085-46c0-af8d-075dacbdd5a9
QacL	127	02cb1371-8085-46c0-af8d-075dacbdd5a9
Sul3	153	02cb1371-8085-46c0-af8d-075dacbdd5a9
TEM-1	1152.5	02cb1371-8085-46c0-af8d-075dacbdd5a9
Tet(A)	113	02cb1371-8085-46c0-af8d-075dacbdd5a9
GlpT	77	02f7df04-03d7-4300-8748-6edb30cf2f5c
PmrB	105	02f7df04-03d7-4300-8748-6edb30cf2f5c
GlpT	65	033ecbc4-0ff4-4196-9a7f-b5c8d7f55a57
PmrB	82	033ecbc4-0ff4-4196-9a7f-b5c8d7f55a57
TEM-1	169	033ecbc4-0ff4-4196-9a7f-b5c8d7f55a57
AAC(3)-IIe	55	03485d1b-abb5-46e2-925a-7ce11061405d
AAC(6')-Ib-cr5	56	03485d1b-abb5-46e2-925a-7ce11061405d
CTX-M-15	66	03485d1b-abb5-46e2-925a-7ce11061405d
CatB3	59	03485d1b-abb5-46e2-925a-7ce11061405d
GlpT	50	03485d1b-abb5-46e2-925a-7ce11061405d
GyrA	56	03485d1b-abb5-46e2-925a-7ce11061405d
OXA-1	74	03485d1b-abb5-46e2-925a-7ce11061405d
ParC	57	03485d1b-abb5-46e2-925a-7ce11061405d
ParE	58	03485d1b-abb5-46e2-925a-7ce11061405d
PmrB	56	03485d1b-abb5-46e2-925a-7ce11061405d
PtsI	60	03485d1b-abb5-46e2-925a-7ce11061405d
Tet(A)	44	03485d1b-abb5-46e2-925a-7ce11061405d
UhpT	61	03485d1b-abb5-46e2-925a-7ce11061405d
1	55	034e77f6-e525-42a6-a3fe-c86854b0622f
APH(3'')-Ib	67	034e77f6-e525-42a6-a3fe-c86854b0622f
APH(6)-Id	63	034e77f6-e525-42a6-a3fe-c86854b0622f
DfrA7	64	034e77f6-e525-42a6-a3fe-c86854b0622f
GlpT	58	034e77f6-e525-42a6-a3fe-c86854b0622f
GyrA	55	034e77f6-e525-42a6-a3fe-c86854b0622f
O-acetyltransferase	78	034e77f6-e525-42a6-a3fe-c86854b0622f
Sul1	48	034e77f6-e525-42a6-a3fe-c86854b0622f
Sul2	60	034e77f6-e525-42a6-a3fe-c86854b0622f
TEM-1	65	034e77f6-e525-42a6-a3fe-c86854b0622f
Tet(D)	57	034e77f6-e525-42a6-a3fe-c86854b0622f
1	151	034e9bd8-d506-41a9-915e-0dc27757ede4
2'-phosphotransferase	97	034e9bd8-d506-41a9-915e-0dc27757ede4
APH(3'')-Ib	131	034e9bd8-d506-41a9-915e-0dc27757ede4
APH(6)-Id	134	034e9bd8-d506-41a9-915e-0dc27757ede4
AadA5	117	034e9bd8-d506-41a9-915e-0dc27757ede4
CyaA	85	034e9bd8-d506-41a9-915e-0dc27757ede4
DfrA17	187	034e9bd8-d506-41a9-915e-0dc27757ede4
GlpT	76	034e9bd8-d506-41a9-915e-0dc27757ede4
GyrA	79	034e9bd8-d506-41a9-915e-0dc27757ede4
Sul1	109	034e9bd8-d506-41a9-915e-0dc27757ede4
Sul2	124	034e9bd8-d506-41a9-915e-0dc27757ede4
TEM-1	158	034e9bd8-d506-41a9-915e-0dc27757ede4
2'-phosphotransferase	176	0365290b-9fcc-4ade-9762-4fe563199bb7
AAC(3)-IId	158.5	0365290b-9fcc-4ade-9762-4fe563199bb7
AAC(6')-Ib-cr5	160	0365290b-9fcc-4ade-9762-4fe563199bb7
APH(3'')-Ib	173	0365290b-9fcc-4ade-9762-4fe563199bb7
APH(6)-Id	160	0365290b-9fcc-4ade-9762-4fe563199bb7
AadA5	143	0365290b-9fcc-4ade-9762-4fe563199bb7
DfrA17	124	0365290b-9fcc-4ade-9762-4fe563199bb7
GlpT	92	0365290b-9fcc-4ade-9762-4fe563199bb7
GyrA	111	0365290b-9fcc-4ade-9762-4fe563199bb7
OXA-1	100	0365290b-9fcc-4ade-9762-4fe563199bb7
ParC	117	0365290b-9fcc-4ade-9762-4fe563199bb7
ParE	114	0365290b-9fcc-4ade-9762-4fe563199bb7
PmrB	119	0365290b-9fcc-4ade-9762-4fe563199bb7
Sul2	158	0365290b-9fcc-4ade-9762-4fe563199bb7
TEM-1	279	0365290b-9fcc-4ade-9762-4fe563199bb7
Tet(B)	134	0365290b-9fcc-4ade-9762-4fe563199bb7
APH(3'')-Ib	210	03684e44-0db7-4f51-a5f1-11801e845e37
APH(6)-Id	195	03684e44-0db7-4f51-a5f1-11801e845e37
GlpT	74	03684e44-0db7-4f51-a5f1-11801e845e37
PmrB	74	03684e44-0db7-4f51-a5f1-11801e845e37
Sul2	198	03684e44-0db7-4f51-a5f1-11801e845e37
TEM-1	232	03684e44-0db7-4f51-a5f1-11801e845e37
GlpT	37	0376f914-d57d-42ee-bfe5-e92a95f03873
PmrB	37	0376f914-d57d-42ee-bfe5-e92a95f03873
AAC(6')-Ib-cr5	77	03970aee-42a6-4a6b-9a30-ca460636e2e1
APH(3'')-Ib	69	03970aee-42a6-4a6b-9a30-ca460636e2e1
APH(6)-Id	77	03970aee-42a6-4a6b-9a30-ca460636e2e1
AadA1	84	03970aee-42a6-4a6b-9a30-ca460636e2e1
CTX-M-15	73	03970aee-42a6-4a6b-9a30-ca460636e2e1
CatB3	72	03970aee-42a6-4a6b-9a30-ca460636e2e1
CyaA	83	03970aee-42a6-4a6b-9a30-ca460636e2e1
DfrA1	100	03970aee-42a6-4a6b-9a30-ca460636e2e1
GlpT	64	03970aee-42a6-4a6b-9a30-ca460636e2e1
GyrA	67	03970aee-42a6-4a6b-9a30-ca460636e2e1
O-acetyltransferase	105	03970aee-42a6-4a6b-9a30-ca460636e2e1
OXA-1	103	03970aee-42a6-4a6b-9a30-ca460636e2e1
Sat2	98	03970aee-42a6-4a6b-9a30-ca460636e2e1
Sul2	78	03970aee-42a6-4a6b-9a30-ca460636e2e1
TEM-1	75	03970aee-42a6-4a6b-9a30-ca460636e2e1
Tet(A)	58	03970aee-42a6-4a6b-9a30-ca460636e2e1
Tet(D)	74	03970aee-42a6-4a6b-9a30-ca460636e2e1
CTX-M-15	72	03b2c44b-bb25-4461-bf43-66577b7f3db5
GlpT	64	03b2c44b-bb25-4461-bf43-66577b7f3db5
GyrA	72	03b2c44b-bb25-4461-bf43-66577b7f3db5
ParC	79	03b2c44b-bb25-4461-bf43-66577b7f3db5
ParE	76	03b2c44b-bb25-4461-bf43-66577b7f3db5
PmrB	74	03b2c44b-bb25-4461-bf43-66577b7f3db5
PtsI	73	03b2c44b-bb25-4461-bf43-66577b7f3db5
UhpT	75	03b2c44b-bb25-4461-bf43-66577b7f3db5
AadA1	79	03ce4471-c2a1-4b74-9e9c-a86d8f846c4b
DfrA1	101	03ce4471-c2a1-4b74-9e9c-a86d8f846c4b
GlpT	70	03ce4471-c2a1-4b74-9e9c-a86d8f846c4b
PmrB	75	03ce4471-c2a1-4b74-9e9c-a86d8f846c4b
SHV-49	105	03ce4471-c2a1-4b74-9e9c-a86d8f846c4b
Sat2	80	03ce4471-c2a1-4b74-9e9c-a86d8f846c4b
GlpT	75	03d08030-7d95-4f19-bef6-d83144109ab1
ParE	89	03d08030-7d95-4f19-bef6-d83144109ab1
PmrB	107	03d08030-7d95-4f19-bef6-d83144109ab1
PtsI	92	03d08030-7d95-4f19-bef6-d83144109ab1
TEM-1	162	03d08030-7d95-4f19-bef6-d83144109ab1
UhpT	108	03d08030-7d95-4f19-bef6-d83144109ab1
